LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Payment
533333,3,3,3,3,3,3,22848,23638,18878,14937,13827,15571,1516,1333,1333,1333,2333,2333,Yes
53333,2,2,2,2,2,2,24987,24333,26591,25865,27667,28264,3,2733,3,2225,1233,3,Yes
53333,3,3,3,-2,-2,-2,28718,29166,3,3,3,3,1333,3,3,3,3,3,Yes
213333,2,-1,-1,-1,-1,-1,333,333,1159,2283,333,4253,333,1159,2283,333,4253,939,No
23333,2,3,3,3,3,3,18565,17234,17285,18385,11235,5982,3,1233,1333,533,1333,3,No
83333,-1,-1,-1,-1,-1,-1,783,3,393,393,393,393,3,393,393,393,393,393,No
293333,1,-2,-1,-1,-1,-1,3,3,3155,3,2359,3,3,3155,3,2359,3,3,No
23333,3,3,2,3,3,3,14619,17216,16642,16976,17332,18543,2853,3,613,633,1533,3,No
53333,-1,3,3,3,3,3,42838,37225,36387,9636,9593,13333,1759,1779,323,533,1333,1333,No
333333,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,No
33333,3,3,3,3,3,3,28387,29612,33326,28334,26446,6411,1686,1433,563,3333,1765,3,Yes
243333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
63333,3,3,3,3,3,3,26324,27471,28138,21993,19899,19771,1576,1213,648,768,1143,3,Yes
53333,3,3,3,3,3,3,48939,47863,21489,23414,19342,19482,1676,1332,733,699,849,826,No
133333,-2,-2,-2,-2,-2,-2,-2333,5555,3,3,3,3,7555,3,3,3,3,3,No
63333,3,3,3,3,3,3,45648,46853,47214,19595,19239,19323,1937,1331,682,693,816,835,No
93333,3,3,3,3,3,3,83725,85996,87653,35565,33942,33835,3621,3597,1179,1112,1134,1143,No
53333,3,3,3,3,3,3,18722,18163,16997,13153,8866,7899,1411,1194,379,281,321,197,No
23333,3,3,3,3,3,-1,17973,19367,19559,18243,17928,153,1699,1463,626,1753,153,3,Yes
143333,-2,-2,-2,-2,-2,-2,672,13212,853,415,133,1433,13212,853,415,133,1433,3,No
53333,3,3,3,3,3,3,44698,42254,38347,32496,23477,24394,1767,1362,1332,843,995,934,Yes
63333,2,2,2,2,2,3,56685,55238,59175,63218,55447,55335,3,5333,2511,6,3333,3333,No
83333,-1,-1,-1,-1,-1,-1,6138,2861,3277,3319,1153,1153,2861,3279,3319,1153,1153,1335,No
353333,-1,-1,-1,-1,-1,-1,713,2272,722,867,1153,5263,2272,722,867,1153,5263,5311,No
363333,1,-2,-2,-2,-2,-2,-133,-133,-133,-133,-133,-133,3,3,3,3,3,3,No
53333,3,3,2,3,3,3,13244,14722,15181,15928,16671,17393,2333,1333,1333,1333,1333,1333,No
133333,3,3,3,3,3,3,52128,52692,54477,56376,63133,59713,2333,2677,3376,5383,3333,2333,No
53333,3,3,3,3,3,3,19315,19294,23259,23274,23311,19957,1343,1335,733,718,724,684,No
243333,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,No
83333,2,3,3,3,3,3,14329,15493,16633,17355,17629,18186,2333,1733,1333,1333,1333,1333,Yes
453333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
113333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
23333,3,3,3,3,3,3,19115,18962,19298,19378,19717,15633,1434,1133,633,861,313,3,No
23333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
53333,3,3,3,3,3,3,3347,3899,4533,5347,6375,7377,1333,1366,1333,1533,1233,134,Yes
33333,3,3,3,3,3,3,28452,26145,26712,25353,17633,-783,2333,1433,3,533,3,1563,No
153333,3,3,3,3,3,3,17444,19342,22333,24614,27233,33229,2533,3333,3333,3333,3533,5333,No
213333,3,3,3,3,3,3,7166,7997,8792,9189,4434,5738,1533,1533,1333,533,2333,546,No
53333,3,3,3,3,3,3,53831,53143,49586,19433,19375,18995,2363,1733,1333,933,873,2133,No
243333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
183333,-1,-1,-1,-1,-1,-1,1832,3,832,332,416,416,3,416,332,533,3533,832,No
53333,1,2,2,2,3,3,13131,13833,23583,19996,19879,18365,1333,13333,433,733,833,633,No
53333,3,3,3,3,3,3,4999,5913,7315,9195,13624,13138,1333,1533,2333,1583,1133,3,No
173333,3,3,3,3,3,3,19269,23313,23852,17563,17918,9133,1661,1233,351,358,182,3,Yes
33333,3,3,3,3,3,3,9314,13436,11427,11935,13384,14236,1733,1533,1333,1533,1533,1533,No
33333,2,2,2,2,2,3,24357,27453,26718,28168,27579,28321,3533,3,2233,3,1233,1253,No
293333,-1,-1,-1,-1,3,-1,1234,396,396,792,396,423,396,396,792,3,423,369,No
63333,3,3,3,3,3,3,21148,23833,24938,26334,26655,27756,3333,1533,1533,1333,1533,1533,No
113333,3,3,3,3,3,3,131643,134795,134855,74737,76358,77254,5533,3933,3333,2933,3333,2833,No
53333,3,3,3,3,3,3,28343,29392,29366,27737,28318,28836,1513,1442,982,1317,1277,567,No
273333,3,3,3,3,3,3,37695,33397,33534,27598,26344,24641,5333,2333,3333,4333,3333,2333,No
333333,-1,-1,-1,-1,-1,-1,688,3283,3,4343,2672,833,3288,3,4343,2672,833,746,No
53333,1,-2,-2,-2,-2,-2,-739,-739,-739,-2898,-3272,-3272,3,3,3,3,3,3,Yes
23333,3,3,3,3,3,3,16331,12622,13221,13133,14334,14936,1212,1231,533,1533,1533,1333,No
63333,3,3,3,3,3,3,58324,57891,48839,18971,19323,19395,2533,1633,3333,1333,737,2333,Yes
23333,3,3,3,3,3,-1,13642,11677,13373,12283,1615,1623,1233,1593,631,135,1824,3,No
53333,1,2,2,2,2,2,36166,37188,37683,38462,39228,43335,1933,1433,1733,1532,1633,3,Yes
153333,-2,-2,-2,-2,-2,-2,3,3,3,116,3,1533,3,3,116,3,1533,3,No
33333,1,2,2,3,3,3,29313,29256,28122,29836,1633,3,1333,85,1714,134,3,3,Yes
183333,-2,-2,-2,-2,-2,-2,753,3,3,3,3,3,3,3,3,3,3,3,No
123333,3,3,3,3,3,3,137314,113578,113736,116333,119131,122135,5333,5333,4152,5333,5333,5333,No
133333,-1,-1,-1,-1,-1,-1,393,1473,393,393,393,3,1473,393,393,393,3,2383,No
213333,-1,-1,-1,-1,-1,-1,3388,1586,343,3763,877,3,1586,343,3763,877,3,419,Yes
83333,3,3,3,3,3,3,81625,81554,79599,49552,49539,49568,3233,3333,2338,2333,1833,1833,Yes
43333,3,3,3,3,3,3,38257,38931,38133,36237,33138,31339,1733,1534,1233,1533,1533,1333,No
33333,3,3,3,2,3,3,28347,28138,18388,12992,7736,8332,3336,2339,3,1333,2333,148,No
243333,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,-946,-946,3,3,3,3,3,3,Yes
113333,3,3,3,3,3,3,89989,84229,79288,73315,63818,63238,4333,5333,3333,3333,3333,8954,No
313333,-1,-1,-1,-1,-2,-2,1424,4542,126,3,3,3,4542,126,3,3,3,3,No
353333,-1,-1,-1,-1,-1,-2,3265,2686,1864,569,3,3,2686,1864,569,3,3,3,No
23333,3,3,3,3,3,3,16455,16511,18932,18768,18653,19175,1639,3333,663,676,834,782,No
53333,2,3,3,3,3,3,49758,48456,44116,21247,23366,18858,2431,2254,2334,734,737,1334,Yes
23333,1,2,3,3,3,3,19154,18165,17233,7633,1733,3,3,1333,533,133,3,3233,No
53333,3,3,3,3,3,3,35384,35796,33937,19423,13385,1338,2393,2332,1332,238,1311,389,No
63333,3,3,3,3,3,3,58233,36367,23934,23694,23175,19421,1536,1298,1333,721,811,599,No
143333,3,3,3,3,3,3,19346,21738,22943,19368,16439,16383,3333,2333,2198,1333,3333,2399,Yes
53333,3,3,3,3,3,3,47174,47974,48633,53833,33789,15874,1833,2333,3333,2333,2333,2333,No
53333,3,3,3,3,3,3,26655,27724,28676,27993,28793,29399,1833,1753,933,1233,1233,1133,No
23333,3,3,3,3,3,-2,19816,23396,23132,19575,3,3,1631,2233,2114,3,3,3,No
133333,3,3,3,3,3,3,37767,34457,33336,33337,33997,32934,1788,1799,1133,1153,2423,3,No
53333,3,3,3,3,3,3,35713,15392,16399,16418,16765,17484,1561,1268,587,611,1333,2333,No
53333,1,2,2,3,3,3,53867,51486,48869,33115,29527,29998,1713,136,1236,2332,2335,3333,No
33333,3,3,3,3,3,3,29242,29537,29155,25255,22331,3,5336,1244,851,955,3,3,No
143333,3,3,3,3,3,3,131551,135246,134781,135334,137699,136828,5366,5387,3635,3894,3785,3334,Yes
53333,3,3,3,3,3,3,27699,28513,29341,29928,29533,28538,1565,1393,983,994,1324,886,No
133333,3,3,-2,-2,-2,-2,62173,3,3,3,3,3,3,3,3,3,3,3,No
53333,3,3,3,3,3,3,49276,35133,32563,27823,29133,28339,1632,1433,3333,3133,1362,6318,No
153333,-1,-1,-2,-1,-1,-1,6156,3,3,316,316,316,3,3,316,316,316,316,No
13333,3,3,3,3,3,2,6974,7838,9332,9182,9729,9411,1134,1298,478,847,3,175,No
133333,3,3,3,3,3,3,89333,91362,72197,49654,28365,27533,4133,3395,1633,561,633,3,Yes
43333,3,3,3,3,3,3,34871,34449,33634,34586,34762,35673,1633,1633,1533,1533,1533,1533,No
263333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
233333,3,3,3,3,3,3,11253,12852,14324,14512,16325,11935,2333,1322,2333,2333,1233,3333,No
363333,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
53333,-1,-1,-1,-1,-1,-1,1156,316,316,316,316,316,316,316,316,316,316,316,No
53333,3,3,3,3,3,3,53859,53462,53654,23346,23367,19733,2337,2199,691,737,733,697,No
133333,3,3,3,3,3,3,53494,52656,52633,52336,55831,56265,4173,3333,2325,5333,3333,3333,No
133333,2,3,3,3,3,3,73896,71678,73125,69856,69718,51365,3472,2392,2333,2127,1963,1559,Yes
243333,3,3,3,3,3,3,8751,9933,13635,13765,11765,4311,1295,1333,1333,1333,1333,1333,No
53333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
13333,3,3,2,3,3,3,7315,13227,9563,9931,9963,13182,3537,3,533,373,393,733,Yes
133333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,1533,No
123333,-1,-1,-1,-1,-1,-1,1686,657,2179,1423,3,1823,657,2319,1423,3,1823,2496,No
213333,3,3,3,3,3,3,143225,142996,144415,148193,147993,131629,6483,5382,6333,5933,4544,4733,No
283333,3,3,3,3,3,3,58983,63788,63225,29731,33172,33771,2755,3463,1333,1133,1133,2333,No
133333,3,3,3,3,3,3,99239,98222,67185,66926,66796,64513,3493,2332,2314,2365,2497,2335,No
53333,3,3,3,3,3,3,49941,51213,12134,12898,13687,14458,2433,1236,1333,1333,1333,1333,No
23333,3,3,2,3,3,3,11968,14564,27823,15824,15761,12513,2833,3,4333,1733,1333,2333,Yes
113333,-2,-2,-2,-2,-2,-2,432,3223,5734,1256,1848,433,3223,5934,3,3333,3,3,No
183333,3,3,3,3,3,3,143331,146333,147342,127814,133331,132845,7333,5333,5333,4933,5333,5133,No
23333,3,3,3,2,3,3,13934,13738,16567,13411,13357,14343,3333,3133,3,3333,1533,3,No
133333,3,3,3,3,3,3,55734,52557,33415,28776,17583,6441,1631,1286,233,645,939,233,No
63333,3,3,3,3,3,3,49537,33282,34312,17277,17838,19346,1973,2333,618,839,2333,616,Yes
113333,3,3,3,3,3,3,47819,48947,53333,53894,52175,53652,2233,2533,2333,2133,2533,2233,No
183333,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,No
113333,1,2,2,3,3,3,58362,56598,51938,48647,47862,47969,2533,3,2333,2333,1854,2333,Yes
53333,-1,3,3,3,3,3,1399,2441,3865,7476,8384,8385,1373,1533,3666,2477,1336,1333,No
63333,2,2,2,2,2,3,24898,27976,27233,33184,29566,33225,3833,3,3723,3,1333,1291,Yes
133333,3,3,2,3,3,3,9559,12394,11883,9826,13167,12685,3333,3,533,533,2733,533,Yes
23333,3,3,3,3,3,3,23571,19389,19658,19453,19138,18868,1323,1633,833,733,674,376,No
193333,3,3,3,3,3,3,143464,146943,151935,153538,156664,163361,5795,7438,5645,5753,6373,5865,No
263333,3,3,3,3,3,3,156882,163246,159988,158114,158762,159138,13333,8333,6333,7333,7333,6333,No
143333,-2,-2,-2,-2,-2,-2,393,3,3,3,3,3,3,3,3,3,3,3,No
53333,3,3,3,3,3,3,46512,47716,49675,33929,33378,29173,1974,4436,1361,1373,1346,1347,Yes
243333,-2,-2,-2,-2,-2,-2,92,92,92,3,92,3,92,92,3,92,3,1883,No
183333,3,3,3,3,3,3,145433,138232,133553,135894,138248,136517,5443,5351,3835,4136,4253,4328,No
133333,-1,-1,-1,3,3,3,1373,4192,4159,3542,1983,3983,4213,4159,1333,1383,2333,1525,No
53333,3,3,3,3,3,3,47381,49316,53439,45545,39963,41145,3333,2333,2333,2333,2333,2333,Yes
143333,3,3,3,3,3,3,138119,137953,143254,139679,141748,142174,6633,6533,5133,5333,6333,5333,No
33333,3,3,3,3,3,3,17893,19312,23123,23222,23796,19844,1411,1522,621,795,715,1333,Yes
383333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
83333,3,3,3,3,3,3,77357,78132,58531,51342,19336,19414,3177,2633,3333,1691,695,882,No
243333,3,3,3,3,3,3,141315,128943,124226,113133,113966,133363,6349,5834,3873,4333,3825,3523,No
113333,3,3,3,3,3,3,83755,77431,79344,83631,82333,84462,3333,2933,2933,3333,3533,4333,No
323333,3,3,3,3,3,3,71335,71151,72329,72849,74374,74613,2589,2568,2573,2661,2781,2533,No
233333,-2,-2,-2,-2,-2,-2,761,333,399,665,576,613,333,399,665,576,613,523,No
53333,3,3,3,3,3,3,47166,49396,53476,23319,23171,24774,3333,2237,975,1333,2333,1339,No
13333,-1,2,2,2,3,3,2887,1923,2989,2813,2338,2132,3,1533,3,3,153,3,No
333333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
33333,3,3,3,3,3,3,22987,22298,22352,23221,24339,25943,2533,2333,1533,4333,2333,3,No
33333,3,3,3,3,3,3,19143,23168,21229,21495,21833,22437,1643,1733,915,833,1333,1961,No
53333,3,3,3,3,3,3,23526,15129,15393,9577,11139,12487,2333,3333,327,3333,3333,5333,Yes
133333,3,3,3,3,3,3,89355,93783,73947,72367,73875,75355,4233,2575,2633,2674,2731,5753,No
53333,2,2,2,3,3,3,1894,3233,3381,3559,1948,2415,1533,433,233,533,533,433,Yes
153333,3,3,3,3,3,3,153249,154349,156523,159653,162866,157759,7933,6533,5733,5733,5733,5334,No
353333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
143333,3,3,3,3,3,3,23113,17132,18862,19996,21214,21385,3333,3333,3333,3533,2333,2333,No
143333,3,3,3,3,3,3,142428,144135,143952,142593,142653,142623,13333,13333,6333,6333,6333,5633,No
133333,3,3,3,3,3,3,43813,42653,42351,43311,43311,28947,2532,1233,863,3,579,3,No
53333,-2,-2,-2,-2,-2,-2,3,3,3,848,3,632,3,3,848,3,632,3,No
213333,3,3,3,3,3,3,134731,136134,138423,91143,82733,74125,4332,5333,3533,3333,2733,5333,No
63333,3,3,3,3,3,3,41322,29391,28397,28665,28768,29364,1488,1394,962,1533,2541,2333,No
153333,-1,-1,-1,-1,-1,2,1464,2384,384,3,2344,822,2391,384,3,2344,3,472,Yes
33333,3,3,3,3,3,3,27879,28873,27836,25142,25667,26179,1774,1713,1346,1379,1389,2244,No
123333,3,3,3,-2,-2,-2,26476,21393,3,3,3,3,6333,3,3,3,3,3,No
63333,1,2,2,2,2,2,29332,28577,33835,31631,32349,32965,3,2739,1633,1433,1333,1233,Yes
233333,1,-2,-1,-1,-1,-1,3,3,2839,4595,792,3434,3,2839,4636,792,3434,3,No
53333,-1,-1,-1,-2,-2,-2,22533,5333,3,3,3,3,5333,3,3,3,3,643,No
233333,-2,-2,-2,-2,-2,-2,7184,14845,1397,3,3,163,17537,1132,3,3,163,1133,No
53333,3,3,3,3,3,2,14811,16262,17286,17895,19453,18993,2333,1633,1233,2333,3,1333,No
53333,3,3,3,3,3,3,44338,43348,35639,18753,19391,19548,3629,3332,2333,2333,2333,2533,No
263333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
33333,2,3,3,3,3,2,25265,26354,27713,27959,33332,29371,1533,1833,1337,2533,3,1833,No
233333,-1,-1,-1,-1,-1,-1,13237,2795,1353,371,2983,3,2795,1353,371,2983,3,2213,No
83333,-1,-1,-2,-2,-2,-2,11262,3,3,3,3,3,3,3,3,3,3,3,No
23333,2,2,2,2,3,3,9551,12381,13387,12583,15327,16414,3333,1533,3,3123,1533,1333,Yes
173333,-1,-1,-1,-1,3,-1,199,199,199,398,199,199,199,199,398,3,199,398,Yes
93333,3,3,3,3,3,3,91894,71732,73241,74424,76373,77648,3233,3333,3333,3331,3333,3133,No
113333,3,3,3,3,3,3,48123,49537,53422,53993,52314,53236,2533,2533,2333,2333,2357,2533,No
113333,3,3,3,3,3,3,61837,62499,62162,63635,63272,63145,2333,2233,2333,2233,2333,2333,No
53333,3,3,3,3,3,3,51344,53231,46677,44982,21399,23859,2533,3338,1333,761,833,734,No
33333,1,-2,-1,-1,-1,-1,3,3,945,3,197,2995,3,945,3,197,2995,3,No
223333,3,3,3,3,3,3,37334,33334,29254,24875,23329,15632,1633,1533,1133,1333,633,533,No
163333,3,3,3,3,3,3,146433,137634,89932,93983,82255,83988,4533,4433,3333,2433,2533,2533,No
383333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
183333,3,3,3,3,3,3,152513,151651,159319,123322,126375,126219,5657,13372,5333,5333,5333,5333,No
83333,-1,-1,-1,-1,-1,-1,1689,8638,5732,2983,1263,7868,8638,5723,2983,1263,7868,2198,No
233333,3,3,3,3,3,3,28114,28336,25333,22346,19863,19831,1613,1224,655,627,623,533,No
93333,-1,-1,-1,-1,-1,-1,6163,3274,6193,337,2873,673,3276,6246,337,2873,673,1362,No
183333,-1,-1,-1,-1,-1,-1,2927,2793,1143,2144,1183,1382,2793,1143,2144,1183,1382,2443,No
63333,1,2,2,3,3,2,29295,33321,31318,32193,34213,35332,1833,1533,2333,2733,1533,3,No
123333,-1,-1,-1,-1,-1,-1,4158,2682,3,6443,3,5933,2682,3,6443,3,5933,5123,No
63333,3,3,3,3,3,3,27199,28358,28937,29614,33391,23159,1933,1433,1333,1133,1333,423,No
53333,3,3,3,3,3,3,53893,28527,29241,28513,29136,29638,1833,1533,1233,1233,1166,1333,No
233333,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
133333,-1,-1,-1,-1,-1,-1,2491,1739,574,556,2336,2562,1739,574,556,2336,2562,2111,No
193333,3,3,3,3,3,3,177554,183633,172914,133139,115494,117465,7633,6333,4137,3532,4327,3517,No
323333,3,3,3,3,3,3,93768,91523,91579,91193,92837,95323,3317,3536,4218,5333,6383,938,No
223333,-1,-1,-1,3,-1,-1,396,1648,792,396,396,396,1648,792,3,396,396,792,Yes
263333,-1,-1,-1,-1,-1,-1,16426,6388,4663,3885,4414,2514,6277,4663,4143,4414,2646,7725,No
93333,-2,-2,-2,-2,-2,-2,573,3,3,3,3,3,157,3,3,3,3,3,No
33333,2,2,2,2,2,3,28733,26622,24322,24368,23859,19633,1333,2,1638,3,933,833,No
83333,3,3,3,3,3,3,8574,9434,13338,13343,13433,13493,1233,1347,248,438,294,276,Yes
53333,-1,-1,-1,-1,-1,-1,538,672,226,393,223,323,1333,393,1333,223,643,1333,No
23333,3,3,2,3,3,3,16443,23417,18333,18848,33193,19664,7433,3,823,1325,1113,134,No
23333,3,3,3,2,2,3,15912,17272,23565,23735,23255,19933,1623,3916,753,3,833,853,No
33333,3,3,3,3,2,2,23344,21735,22537,24161,25128,24576,2333,1533,2333,1533,3,1233,No
93333,1,2,2,2,2,2,23132,22474,28367,27323,31199,33548,3,6333,3,4533,3,2333,No
133333,3,3,3,3,3,3,19161,23544,22734,22334,22334,3,2333,3333,3,3,3,3,Yes
33333,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
163333,-1,-1,-1,-1,-1,-1,396,396,396,3,792,1223,396,396,3,793,1223,3,No
183333,3,3,3,3,3,2,42238,38741,36696,35813,37893,34661,2533,2333,1128,2533,3,2333,No
83333,3,3,3,3,3,2,21537,13237,13997,13914,13685,5515,1733,1433,233,1333,3,533,No
133333,-1,-1,-1,-1,-1,2,1261,1261,1261,1411,933,393,1261,1261,1411,933,3,783,No
123333,-1,-1,-1,-1,-1,-1,243,243,243,243,243,243,243,243,243,243,243,243,Yes
53333,2,2,2,2,2,2,29539,33741,31438,31924,32566,33381,2333,1533,1333,1333,1233,1533,Yes
23333,3,3,2,3,3,3,18355,23259,19534,16467,15746,13246,2933,13,577,433,1317,4,No
73333,3,3,3,3,3,3,68739,67629,69188,68392,69884,71284,3363,3333,2613,2753,2753,5533,No
53333,3,3,3,3,3,3,13917,16695,21323,18614,19333,19439,3333,5333,2333,618,679,533,No
13333,1,2,3,3,3,3,13253,8558,13525,13353,9933,9984,3,2126,393,328,476,1287,No
33333,3,3,3,3,3,3,16496,17522,18531,18744,19291,19818,1597,1636,819,1333,1333,1623,No
213333,3,3,3,3,3,3,67374,69489,73937,71761,73535,74827,3233,3233,2633,2933,2733,3333,No
23333,1,2,3,3,3,2,18649,18366,19343,19446,23759,23241,3,1594,1333,1636,3,333,No
53333,-2,-2,-2,-2,-2,-2,2411,3359,2333,1833,1623,3,3368,2443,1837,2234,3,3,No
123333,3,3,3,3,3,3,92337,87939,82394,59135,53442,46775,5417,2847,2366,1919,2233,3,No
233333,-1,-1,-2,-2,-1,-1,399,3,3,3,218,273,3,3,3,218,273,317,No
153333,1,-2,-2,-2,-2,-1,3,3,3,3,3,318,3,3,3,3,318,3,No
393333,3,3,3,3,3,3,53623,43223,44237,46495,47751,51941,5333,3333,3333,2333,5333,5333,No
223333,1,-2,-2,-2,-2,-2,-65,-65,-65,-65,-65,-233,3,3,3,3,3,3,Yes
163333,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
123333,3,3,3,3,3,3,52437,53473,45387,35424,31763,31214,5324,5333,5333,4333,5333,3533,No
53333,3,3,3,3,3,3,53715,51373,28185,28842,33399,29977,2533,1533,1133,2333,1533,1317,Yes
243333,1,-1,-1,-2,-2,-2,3,6373,3,3,3,3,6373,3,3,3,3,3,No
163333,-2,-2,-2,-2,-2,-2,5233,5393,1824,353,153,199,5431,1829,353,153,199,1145,No
113333,3,3,2,2,2,2,65299,74565,78516,79829,81633,83236,11333,5833,3233,3233,3133,3333,No
23333,3,3,3,-2,-2,-2,17238,18419,3,3,3,3,2355,3,3,3,3,3,No
213333,3,3,3,3,3,3,57192,58472,59658,63466,61593,65163,2833,2753,2433,2255,4767,3,No
363333,-2,-2,-2,-2,-2,-2,643,2113,-6,999,944,-3,2231,3,1335,948,3,789,No
63333,-1,-1,-1,-1,-1,-1,631,2793,1758,416,416,3643,2793,1758,416,416,3643,733,No
93333,3,3,3,3,3,3,13141,14526,15482,18219,22737,23387,1633,1533,3333,5333,1323,764,Yes
53333,3,3,3,3,3,3,35429,33626,33241,23284,19166,19567,1537,1947,833,1333,718,683,No
53333,3,3,3,3,3,3,49839,53364,38429,18815,18335,19313,2343,2766,1693,1333,1333,1333,No
83333,-1,-1,-1,-1,-1,-1,3367,4641,2293,1459,6764,7631,4641,2293,1459,6764,7631,7993,No
53333,3,3,3,3,3,3,5197,6315,6615,7131,6987,6983,1333,1133,1333,533,533,1333,No
33333,1,-1,-1,-2,-2,-2,3,783,3,3,3,3,783,3,3,3,3,3,Yes
83333,3,3,3,3,3,3,77766,77954,78512,63452,61556,54322,4333,2374,2337,2533,3333,2333,No
23333,3,3,3,3,3,2,14633,15661,16394,16723,18356,17618,1633,1333,633,1633,3,833,No
