LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Payment
73333,25,3,3,3,3,3,3,67521,66999,63949,63699,64718,65973,3333,4533,4342,2533,2833,2533,No
13333,22,3,3,3,3,3,3,1877,3184,6333,3576,3673,4451,1533,2927,1333,333,1333,533,No
143333,37,3,3,3,3,3,3,59534,61544,62925,64283,67379,69832,3333,3333,3333,4333,4333,3333,No
43333,33,3,3,3,2,3,3,18927,21295,25921,25239,26636,29197,3333,5333,3,2333,3333,3,No
213333,29,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
23333,22,3,3,2,-1,3,3,14328,16484,15833,16341,16675,3,3333,3,16741,334,3,3,Yes
153333,46,3,3,-1,3,3,-2,4463,3334,1173,1173,3,3,1313,1173,3,3,3,3,Yes
383333,32,-1,-1,-1,-1,-1,-1,22431,21543,15134,32318,11849,11873,21543,15138,24677,11851,11875,8251,No
23333,24,3,3,3,3,3,3,17447,18479,19476,19865,23483,23363,1318,1315,734,928,912,1369,No
73333,42,1,2,2,2,2,3,37342,36171,38355,39423,38659,39362,3,3133,2333,3,1533,1533,Yes
133333,43,3,3,3,3,3,3,61559,51163,43824,39619,35762,33258,2333,1636,1533,2333,1533,1333,No
313333,49,-2,-2,-2,-2,-2,-2,13465,7867,7633,11185,3544,464,7875,7633,11185,3544,464,3,No
183333,25,1,2,3,3,3,3,41432,41742,42758,43513,44423,45319,1333,2313,1762,1762,1793,1622,No
153333,29,2,3,3,3,3,3,46224,34993,31434,26518,21342,16543,1633,1718,1349,1533,2333,5333,No
533333,45,-2,-2,-2,-2,-2,-2,1935,3643,162,3,151,2533,3643,162,3,151,2533,3,No
183333,34,3,3,3,-1,-1,-1,16386,15793,8441,7142,-679,8321,8533,1533,7533,679,9333,2333,No
183333,34,3,3,3,3,3,3,175886,173443,172338,168638,132232,129918,8383,7296,5253,4814,4816,3833,No
233333,34,-1,3,2,2,2,2,1587,1398,782,1166,733,1414,3,3,733,3,1233,3,No
433333,29,3,3,3,3,3,3,433134,398857,434235,363199,356656,364389,17333,15329,33333,12333,12333,23333,No
533333,28,3,3,3,3,3,3,22848,23638,18878,14937,13827,15571,1516,1333,1333,1333,2333,2333,Yes
73333,39,3,3,3,3,3,-1,73833,72363,69938,16518,14396,833,4325,2395,1333,2333,3333,3,No
53333,29,2,2,2,2,2,2,24987,24333,26591,25865,27667,28264,3,2733,3,2225,1233,3,Yes
53333,46,3,3,3,-2,-2,-2,28718,29166,3,3,3,3,1333,3,3,3,3,3,Yes
133333,51,-1,-1,-2,-2,-1,-1,99,3,3,3,2353,3,3,3,3,2353,3,3,No
233333,57,-2,-2,-2,-1,2,2,152519,148751,144376,8174,8198,7918,3,3,8222,333,3,1333,Yes
13333,56,2,2,2,3,3,3,2397,4193,3978,4362,4196,4326,2333,3,153,233,233,163,Yes
213333,33,2,-1,-1,-1,-1,-1,333,333,1159,2283,333,4253,333,1159,2283,333,4253,939,No
133333,29,1,-2,-2,-1,2,-1,-193,-9853,-9853,13311,13161,7319,3,3,23161,3,7319,13899,No
23333,22,2,3,3,3,3,3,18565,17234,17285,18385,11235,5982,3,1233,1333,533,1333,3,No
83333,31,-1,-1,-1,-1,-1,-1,783,3,393,393,393,393,3,393,393,393,393,393,No
323333,29,2,2,2,2,2,2,58267,59246,63184,58622,62337,63526,2533,2533,3,4833,2433,1633,Yes
233333,32,-1,-1,-1,-1,2,-1,9376,5787,-684,5247,3848,3151,5818,15,9132,17,3165,1395,No
293333,37,1,-2,-1,-1,-1,-1,3,3,3155,3,2359,3,3,3155,3,2359,3,3,No
343333,32,-1,-1,-1,-1,-1,-1,3348,5553,23337,4291,83153,25823,5713,23453,4314,83552,25949,2316,No
23333,24,3,3,2,3,3,3,14619,17216,16642,16976,17332,18543,2853,3,613,633,1533,3,No
53333,25,-1,3,3,3,3,3,42838,37225,36387,9636,9593,13333,1759,1779,323,533,1333,1333,No
333333,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,No
33333,22,3,3,3,3,3,3,28387,29612,33326,28334,26446,6411,1686,1433,563,3333,1765,3,Yes
243333,44,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
473333,33,3,3,3,3,3,3,165254,157784,162732,69923,29271,29889,6433,7566,3333,963,1333,3333,No
363333,26,3,3,3,3,3,-1,23411,27796,33433,33133,183333,196,4796,3433,3133,146933,196,2963,No
63333,33,3,3,3,3,3,3,26324,27471,28138,21993,19899,19771,1576,1213,648,768,1143,3,Yes
433333,44,3,3,2,3,3,3,131595,139363,126819,134433,134993,94358,13733,3,3353,3333,3233,2833,No
53333,49,3,3,3,3,3,3,48939,47863,21489,23414,19342,19482,1676,1332,733,699,849,826,No
163333,33,3,3,3,3,3,3,133328,137838,71934,118418,118437,123418,4433,3547,83333,4533,4833,4533,No
363333,45,-1,-1,2,3,-1,-1,393,1173,783,393,393,393,1173,3,3,393,393,393,Yes
163333,32,3,3,3,3,3,-1,3826,4751,6634,8634,7372,766,1147,2333,2333,3,766,2333,No
133333,35,3,3,3,-1,-1,-1,81313,117866,17743,1333,7395,1193,43333,5333,1333,7395,1193,2393,No
23333,44,2,2,3,3,3,2,8583,8333,9651,13488,12314,11973,3,1651,1333,2333,3,1533,No
233333,53,2,2,2,2,2,2,138183,143774,142463,144398,147124,149531,6333,5533,5533,5533,5333,5333,Yes
283333,39,-1,-1,-1,3,3,-2,7524,3,3968,3868,3,3,3,3968,3,3,3,3,No
133333,27,-2,-2,-2,-2,-2,-2,-2333,5555,3,3,3,3,7555,3,3,3,3,3,No
163333,37,-1,-1,-1,-1,-1,-2,883,1632,843,843,3,3,1632,843,843,3,3,7736,No
63333,23,3,3,3,3,3,3,45648,46853,47214,19595,19239,19323,1937,1331,682,693,816,835,No
93333,35,3,3,3,3,3,3,83725,85996,87653,35565,33942,33835,3621,3597,1179,1112,1134,1143,No
363333,43,-1,-1,-1,-1,-1,3,3967,8322,3394,6451,26373,9956,8339,3394,12932,27333,3,68978,No
153333,27,3,3,3,3,3,3,86339,86138,89336,89775,87725,43788,4331,13336,3266,4343,1698,833,No
53333,22,3,3,3,3,3,3,18722,18163,16997,13153,8866,7899,1411,1194,379,281,321,197,No
23333,38,3,3,3,3,3,-1,17973,19367,19559,18243,17928,153,1699,1463,626,1753,153,3,Yes
143333,32,-2,-2,-2,-2,-2,-2,672,13212,853,415,133,1433,13212,853,415,133,1433,3,No
383333,33,-2,-2,-1,3,3,3,-81,-333,32475,32891,33564,34356,223,33178,1171,1197,1253,5333,No
483333,63,3,3,3,2,2,3,422369,431342,479432,487366,471145,469961,16378,55693,17333,3,18333,24233,No
53333,22,3,3,3,3,3,3,44698,42254,38347,32496,23477,24394,1767,1362,1332,843,995,934,Yes
63333,26,2,2,2,2,2,3,56685,55238,59175,63218,55447,55335,3,5333,2511,6,3333,3333,No
73333,24,-1,-1,-2,-2,-2,-1,5583,3,3,3,3,26529,3,3,3,3,26529,2333,No
83333,36,-1,-1,-1,-1,-1,-1,6138,2861,3277,3319,1153,1153,2861,3279,3319,1153,1153,1335,No
353333,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1153,5263,2272,722,867,1153,5263,5311,No
133333,38,3,3,3,-1,-1,-1,171438,178382,39943,123483,44127,126568,13938,3,133657,4566,133841,4796,No
363333,35,1,-2,-2,-2,-2,-2,-133,-133,-133,-133,-133,-133,3,3,3,3,3,3,No
333333,31,3,3,2,3,3,3,135879,138431,135594,135896,136491,137289,9263,3,3593,4133,15794,3,No
53333,47,3,3,2,3,3,3,13244,14722,15181,15928,16671,17393,2333,1333,1333,1333,1333,1333,No
283333,41,2,2,2,2,2,3,135673,138532,134813,144431,152174,149415,6533,3,14254,14853,3,5333,No
133333,24,3,3,3,3,3,3,52128,52692,54477,56376,63133,59713,2333,2677,3376,5383,3333,2333,No
53333,41,3,3,3,3,3,3,19315,19294,23259,23274,23311,19957,1343,1335,733,718,724,684,No
33333,24,-1,2,3,3,3,2,18199,17618,18631,21319,23692,21231,3,1312,3333,3,1333,1333,Yes
243333,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,No
83333,26,2,3,3,3,3,3,14329,15493,16633,17355,17629,18186,2333,1733,1333,1333,1333,1333,Yes
433333,34,-1,-1,-1,-1,-1,-1,19663,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,No
243333,38,3,3,3,3,-1,-1,53254,51445,53315,52479,1337,1233,2333,3333,3333,1337,1233,563,No
53333,37,2,2,2,3,2,2,46334,45976,48953,48851,49318,51143,1333,4335,1333,1433,2833,3,Yes
453333,43,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
113333,48,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
313333,35,2,3,3,3,3,3,334991,311243,336314,258613,246491,198889,13319,11128,8437,8599,6833,5987,Yes
23333,27,3,3,3,3,3,3,19115,18962,19298,19378,19717,15633,1434,1133,633,861,313,3,No
23333,23,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
233333,52,3,3,3,3,3,3,113151,99533,98951,133914,133146,134993,3568,3585,3632,3848,3669,3784,No
183333,36,3,3,3,3,3,3,163736,116422,99278,95766,97753,95927,4655,2693,2367,2142,2217,1333,Yes
53333,51,3,3,3,3,3,3,3347,3899,4533,5347,6375,7377,1333,1366,1333,1533,1233,134,Yes
63333,55,3,2,2,3,3,3,63521,61453,57244,28853,29513,26547,2534,7,1233,1233,1133,1533,No
33333,23,1,-2,-2,-2,-1,-1,4333,5645,3538,-27,13744,5936,5645,3538,27,13771,5911,3324,No
243333,41,1,-1,-1,3,3,-1,95,2622,3331,3164,363,1737,2622,3331,3,363,1737,924,No
423333,34,3,3,3,3,3,3,253454,247743,229349,223951,213636,188138,9744,9553,7633,7833,7253,11326,No
333333,46,3,3,3,3,3,3,227389,228719,229644,227587,227775,228233,8213,8395,8325,8175,8391,8233,No
33333,22,3,3,3,3,3,3,28452,26145,26712,25353,17633,-783,2333,1433,3,533,3,1563,No
243333,34,3,3,3,2,2,2,13674,12335,13681,13269,14158,13891,1533,1833,3,1333,3,327,No
153333,27,3,3,3,3,3,3,17444,19342,22333,24614,27233,33229,2533,3333,3333,3333,3533,5333,No
213333,33,3,3,3,3,3,3,7166,7997,8792,9189,4434,5738,1533,1533,1333,533,2333,546,No
53333,51,-1,-1,-1,-1,-2,-2,752,333,5883,3,3,3,333,5883,3,3,3,3,Yes
53333,24,3,3,3,3,3,3,53831,53143,49586,19433,19375,18995,2363,1733,1333,933,873,2133,No
243333,47,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
183333,28,-1,-1,-1,-1,-1,-1,1832,3,832,332,416,416,3,416,332,533,3533,832,No
53333,23,1,2,2,2,3,3,13131,13833,23583,19996,19879,18365,1333,13333,433,733,833,633,No
173333,29,-2,-2,-2,-2,-2,-2,12159,13333,13333,13333,9983,15846,13333,13333,13333,9983,15863,13333,No
23333,29,-1,-1,-1,-1,3,-1,1199,15586,344,2343,6732,339,15586,344,2343,4732,339,333,No
53333,28,3,3,3,3,3,3,4999,5913,7315,9195,13624,13138,1333,1533,2333,1583,1133,3,No
173333,27,3,3,3,3,3,3,19269,23313,23852,17563,17918,9133,1661,1233,351,358,182,3,Yes
233333,34,1,2,3,3,3,3,197236,176192,93369,135668,132233,59875,8333,5333,55533,5333,5333,8533,No
83333,23,1,2,3,2,3,3,9168,13522,13235,9898,13123,12334,1653,3,3,379,2391,1,No
263333,63,1,-2,-1,-1,-1,-1,-1133,-1133,21433,3,969,869,3,22533,3,969,1333,3,No
143333,32,3,3,3,3,2,3,86627,78142,68336,64648,58319,55251,3455,3113,5333,3,2133,2632,No
83333,25,3,3,3,3,3,3,42444,55744,43476,41387,41951,31826,33333,3333,6333,8333,2333,14333,No
353333,41,1,-1,-1,-1,-1,-2,238,2936,1333,633,3,3,2936,1333,633,3,3,3,No
283333,56,3,3,3,3,3,3,238775,182353,132257,131783,177145,169311,8342,6733,5137,133333,7333,6321,No
33333,26,3,3,3,3,3,3,9314,13436,11427,11935,13384,14236,1733,1533,1333,1533,1533,1533,No
143333,34,3,3,3,3,3,3,23944,28349,32373,43129,47386,48699,5333,5333,11885,5333,3333,5534,No
233333,37,3,3,3,3,3,3,135423,132873,89643,93938,92535,94331,4333,3253,3253,3533,3563,5333,No
233333,33,3,3,3,3,3,3,196331,196143,189524,167163,146975,122324,7333,7138,7683,6233,5333,4533,No
213333,45,2,3,4,4,5,6,115785,122934,129847,137277,145533,154135,13478,13478,11378,11378,11678,13478,Yes
53333,57,3,2,3,3,3,3,12854,12362,13447,13427,13711,14383,3,1633,533,533,633,633,No
33333,41,2,2,2,2,2,3,24357,27453,26718,28168,27579,28321,3533,3,2233,3,1233,1253,No
53333,27,2,-1,-1,-1,-1,2,393,393,783,216,1383,543,393,783,216,864,3,393,No
293333,47,-1,-1,-1,-1,3,-1,1234,396,396,792,396,423,396,396,792,3,423,369,No
253333,34,3,3,2,3,3,3,141223,156858,151841,152833,155997,163223,17994,3,5469,5656,6811,3923,No
63333,46,3,3,3,3,3,3,21148,23833,24938,26334,26655,27756,3333,1533,1533,1333,1533,1533,No
113333,27,3,3,3,3,3,3,131643,134795,134855,74737,76358,77254,5533,3933,3333,2933,3333,2833,No
373333,53,-2,-2,-2,-2,-2,-2,6393,15133,8234,15398,4792,13453,15383,8234,15413,4792,13453,4699,No
133333,27,-1,2,2,3,3,3,132349,96847,58824,29336,22979,-246,3166,3,1333,1398,12,53333,No
93333,35,3,3,3,3,3,2,72112,73854,75526,77317,85852,88293,3533,3533,3652,13333,4333,3,No
53333,22,3,3,3,3,3,3,28343,29392,29366,27737,28318,28836,1513,1442,982,1317,1277,567,No
273333,37,3,3,3,3,3,3,37695,33397,33534,27598,26344,24641,5333,2333,3333,4333,3333,2333,No
333333,33,-1,-1,-1,-1,-1,-1,688,3283,3,4343,2672,833,3288,3,4343,2672,833,746,No
53333,22,-1,3,3,3,3,3,8567,15273,11653,7457,3115,7725,15333,1333,149,3,5333,13333,No
53333,24,1,-2,-2,-2,-2,-2,-739,-739,-739,-2898,-3272,-3272,3,3,3,3,3,3,Yes
363333,29,1,-2,-1,-1,-2,-2,3,3,77,3,3,3,3,77,3,3,3,3,No
133333,56,1,2,2,2,2,3,64617,65978,67282,68557,72796,71345,3333,3333,3333,5533,3,3,Yes
83333,33,-2,-1,3,3,3,3,6187,133,633,1438,1919,5383,534,533,1333,533,3533,3,No
53333,33,1,2,3,3,3,2,48863,47831,48363,33221,22877,22361,3,1533,1333,2333,3,2333,No
23333,22,3,3,3,3,3,3,16331,12622,13221,13133,14334,14936,1212,1231,533,1533,1533,1333,No
83333,29,3,3,2,3,3,3,77883,81811,83253,61467,13662,11486,5833,1333,633,433,1333,3,No
243333,37,-1,-1,2,3,3,-1,12212,26578,25331,26635,26279,1256,15333,3,2333,3,1256,65935,No
83333,35,3,-1,3,3,3,3,49638,12412,14873,17364,17773,17463,12533,6533,3333,2333,3333,2333,No
533333,47,3,3,3,3,3,3,56422,113616,113343,122967,138834,73364,73313,33357,33333,23333,52183,23333,No
63333,24,3,3,3,3,3,3,58324,57891,48839,18971,19323,19395,2533,1633,3333,1333,737,2333,Yes
23333,25,3,3,3,3,3,-1,13642,11677,13373,12283,1615,1623,1233,1593,631,135,1824,3,No
133333,38,1,2,3,3,2,3,14483,13961,15323,16268,15868,16448,3,1633,1533,3,1333,1533,Yes
363333,32,1,-1,-1,-1,-1,-1,2616,57377,5287,68445,13881,16243,57387,5295,68454,13889,16253,38313,No
233333,47,2,2,2,2,2,2,199436,232947,193936,196186,233162,189915,8214,7333,6833,7134,3,6836,Yes
133333,34,1,-1,3,3,3,3,3,5396,13273,13576,13864,14636,5396,5333,3533,531,1333,2333,No
23333,31,1,5,4,4,3,2,21733,21387,21461,23835,23219,23487,3,1333,3,3,763,3,No
313333,32,3,3,3,3,3,3,59931,62147,62132,65875,63387,43328,13323,6331,13357,5328,5363,4223,No
63333,27,2,3,3,3,2,3,19625,23347,21669,23335,22499,22873,1342,1664,2333,3,933,846,Yes
183333,29,-1,-1,-1,-2,-1,3,11386,199,3,3,17227,17342,199,3,3,17227,341,5114,No
183333,24,-1,-1,2,3,3,-2,14673,22387,21282,13233,3,3,37867,3,233,3,3,3,No
53333,36,3,3,3,3,-1,-1,47793,18114,18253,-14,72,658,2333,1333,2333,533,1333,23311,No
53333,24,1,2,2,2,2,2,36166,37188,37683,38462,39228,43335,1933,1433,1733,1532,1633,3,Yes
153333,34,-2,-2,-2,-2,-2,-2,3,3,3,116,3,1533,3,3,116,3,1533,3,No
23333,22,3,3,3,3,-1,3,18553,19446,19365,8332,18868,19247,1533,1332,541,23333,693,1333,No
533333,34,-2,-2,-2,-1,-1,-1,412,138,2299,1251,1236,1151,138,2299,1251,1236,1151,15816,No
33333,22,1,2,2,3,3,3,29313,29256,28122,29836,1633,3,1333,85,1714,134,3,3,Yes
183333,38,-2,-2,-2,-2,-2,-2,753,3,3,3,3,3,3,3,3,3,3,3,No
143333,31,3,3,2,3,3,2,27123,27299,17985,23225,27437,13833,25333,3,3333,7833,3,2533,No
143333,26,-1,3,-1,-1,-1,-1,13424,18333,13331,5818,13536,487,13333,13331,5841,13536,487,7334,No
123333,26,3,3,3,3,3,3,137314,113578,113736,116333,119131,122135,5333,5333,4152,5333,5333,5333,No
363333,48,3,3,3,3,3,3,226433,231878,234192,193211,173557,146511,9133,7333,5833,5633,5633,4133,No
23333,43,-1,-1,3,3,3,3,227,23351,23237,19339,19453,19337,22359,1335,1258,1459,3457,1733,No
133333,47,-1,-1,-1,-1,-1,-1,393,1473,393,393,393,3,1473,393,393,393,3,2383,No
213333,41,-1,-1,-1,-1,-1,-1,3388,1586,343,3763,877,3,1586,343,3763,877,3,419,Yes
83333,24,3,3,3,3,3,3,81625,81554,79599,49552,49539,49568,3233,3333,2338,2333,1833,1833,Yes
333333,53,-1,-1,-1,-1,-2,-2,8872,4337,2854,1693,3,1739,4345,2854,1732,3,1739,258,No
223333,24,3,3,3,-1,-1,-1,135637,138917,111523,8333,3,85632,5333,5353,8333,3,85632,3,No
213333,38,1,-2,-1,3,-1,-1,3,3,253,123,789,1222,3,253,3,789,1222,9616,Yes
43333,43,3,3,3,3,3,3,38257,38931,38133,36237,33138,31339,1733,1534,1233,1533,1533,1333,No
33333,39,3,3,3,2,3,3,28347,28138,18388,12992,7736,8332,3336,2339,3,1333,2333,148,No
473333,27,2,2,2,2,3,3,296573,333323,337843,479978,335145,339959,13333,11331,3,13484,13838,13367,No
33333,42,-1,-1,-1,-1,-1,2,393,393,393,243,1323,783,393,393,243,1473,3,3,No
243333,36,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,-946,-946,3,3,3,3,3,3,Yes
83333,36,2,3,3,3,3,3,79278,78531,78534,83316,76235,78245,3133,3533,3433,3333,3533,3333,No
113333,31,3,3,3,3,3,3,89989,84229,79288,73315,63818,63238,4333,5333,3333,3333,3333,8954,No
313333,38,-1,-1,-1,-1,-2,-2,1424,4542,126,3,3,3,4542,126,3,3,3,3,No
363333,43,2,2,2,3,3,3,135167,115468,112157,114693,117845,123238,12333,3,5933,5333,4533,4733,Yes
333333,45,3,3,3,3,3,3,335196,334954,335527,333863,335763,333121,12388,12378,12116,12453,12213,11678,No
333333,35,3,3,3,3,3,3,291619,297268,235629,215827,238464,212538,12319,9336,17333,12333,9557,15333,No
323333,33,3,3,3,3,3,3,91653,94337,138597,65913,43835,33263,13342,18832,2117,2376,5345,3754,No
53333,37,1,3,2,3,3,3,52626,51537,49235,33394,33249,29957,3,24,1533,1333,1231,33592,Yes
173333,28,3,3,3,3,3,3,133373,131199,128933,125514,127283,128839,6533,4863,22533,4823,4877,4962,No
353333,44,-1,-1,-1,-1,-1,-2,3265,2686,1864,569,3,3,2686,1864,569,3,3,3,No
23333,37,3,3,3,3,3,3,16455,16511,18932,18768,18653,19175,1639,3333,663,676,834,782,No
53333,23,2,3,3,3,3,3,49758,48456,44116,21247,23366,18858,2431,2254,2334,734,737,1334,Yes
23333,24,1,2,3,3,3,3,19154,18165,17233,7633,1733,3,3,1333,533,133,3,3233,No
53333,24,3,3,3,3,3,3,35384,35796,33937,19423,13385,1338,2393,2332,1332,238,1311,389,No
23333,23,1,2,3,3,2,3,23235,17132,16856,16875,13454,13134,3,1233,1333,3,1333,13333,Yes
53333,26,3,3,-2,-1,-1,3,132833,3,3,2624,45567,46557,3,3,2624,45567,1747,2333,No
193333,34,2,3,3,3,2,2,129831,131383,134379,142323,143123,153352,5333,5333,13333,3,12118,2769,Yes
63333,33,3,3,3,3,3,3,58233,36367,23934,23694,23175,19421,1536,1298,1333,721,811,599,No
83333,35,-1,-1,-1,-1,-1,-1,7988,3977,6848,1719,1378,19942,3983,6853,1719,1378,19942,2418,No
153333,27,3,3,3,3,3,3,127432,113353,51547,44384,36933,29497,4533,1745,1566,1238,1377,2529,No
213333,31,-2,-2,-2,-2,-1,-1,1443,3,7422,893,6382,2293,3,7422,893,6382,2293,3299,No
243333,53,3,3,3,3,3,3,234235,231669,214642,237642,213375,214694,13116,9153,8338,8333,8339,7714,Yes
143333,41,3,3,3,3,3,3,19346,21738,22943,19368,16439,16383,3333,2333,2198,1333,3333,2399,Yes
63333,28,1,2,2,-2,-2,-1,21531,23653,3,3,3,2285,3,3,3,3,2285,3,No
53333,39,3,3,3,3,3,3,47174,47974,48633,53833,33789,15874,1833,2333,3333,2333,2333,2333,No
53333,27,3,3,3,3,3,3,26655,27724,28676,27993,28793,29399,1833,1753,933,1233,1233,1133,No
183333,32,-1,-1,2,2,-1,-1,3139,5853,2821,3,2821,3,2821,3,3,2821,3,176,No
33333,43,-1,-1,2,2,2,2,142,215,139,19,19,79,355,123,3,3,63,63,No
23333,43,3,3,3,3,3,-2,19816,23396,23132,19575,3,3,1631,2233,2114,3,3,3,No
253333,75,3,-1,-1,-1,-1,-1,52874,1631,1536,1313,5572,794,1631,1536,1313,5572,794,1184,No
133333,27,3,3,3,3,3,3,37767,34457,33336,33337,33997,32934,1788,1799,1133,1153,2423,3,No
333333,25,3,3,3,3,2,3,46143,45781,48139,51137,39453,25358,2534,4337,5356,74,1323,2566,No
53333,46,3,3,3,3,3,3,35713,15392,16399,16418,16765,17484,1561,1268,587,611,1333,2333,No
53333,26,1,2,2,3,3,3,53867,51486,48869,33115,29527,29998,1713,136,1236,2332,2335,3333,No
33333,28,3,3,3,3,3,3,29242,29537,29155,25255,22331,3,5336,1244,851,955,3,3,No
